Date,Cases
10/31/20,9167573
11-01-2020,9272757
11-02-2020,9356856
11-03-2020,9484603
11-04-2020,9588722
11-05-2020,9718609
11-06-2020,9846484
11-07-2020,9977745
11-08-2020,10092524
11-09-2020,10211848
11-10-2020,10351774
11-11-2020,10499991
11-12-2020,10662950
11/13/20,10844001
11/14/20,11015060
11/15/20,11152078
11/16/20,11312880
11/17/20,11476655
11/18/20,11650165
11/19/20,11841888
11/20/20,12043083
11/21/20,12223946
11/22/20,12370157
11/23/20,12543341
11/24/20,12720667
11/25/20,12905323
11/26/20,13021544
11/27/20,13226490
11/28/20,13384108
11/29/20,13524513
11/30/20,13681250
12-01-2020,13875094
12-02-2020,14079268
12-03-2020,14303769
12-04-2020,14538479
12-05-2020,14759218
12-06-2020,14937777
12-07-2020,15129318
12-08-2020,15359825
12-09-2020,15581389
12-10-2020,15815643
12-11-2020,16056357
12-12-2020,16276407
12/13/20,16463242
12/14/20,16665170
12/15/20,16886664
12/16/20,17127111
12/17/20,17364632
12/18/20,17613128
12/19/20,17814236
12/20/20,17999535
12/21/20,18190836
12/22/20,18392072
12/23/20,18617481
12/24/20,18822716
12/25/20,18930669
12/26/20,19149189
12/27/20,19303667
12/28/20,19471670
12/29/20,19672879
12/30/20,19894631
12/31/20,20153436
01-01-2021,20318112
01-02-2021,20614569
01-03-2021,20817632
01-04-2021,21000313
01-05-2021,21231539
01-06-2021,21487860
01-07-2021,21776547
01-08-2021,22079506
01-09-2021,22338598
01-10-2021,22551301
01-11-2021,22763313
01-12-2021,22981747
1/13/21,23211249
1/14/21,23449919
1/15/21,23696155
1/16/21,23904220
1/17/21,24080560
1/18/21,24221345
1/19/21,24386760
1/20/21,24572050
1/21/21,24764047
1/22/21,24953412
1/23/21,25127641
1/24/21,25265235
1/25/21,25408150
1/26/21,25552490
1/27/21,25707785
1/28/21,25874369
1/29/21,26041134
1/30/21,26185837
1/31/21,26300990
02-01-2021,26430603
02-02-2021,26544833
02-03-2021,26667910
02-04-2021,26791845
02-05-2021,26923133
02-06-2021,27033875
02-07-2021,27125359
02-08-2021,27211291
02-09-2021,27305479
02-10-2021,27401350
02-11-2021,27507483
02-12-2021,27607288
2/13/21,27695872
2/14/21,27762183
2/15/21,27816653
2/16/21,27875813
2/17/21,27945859
2/18/21,28017150
2/19/21,28095282
2/20/21,28168408
2/21/21,28226164
2/22/21,28281310
2/23/21,28353230
2/24/21,28428239
2/25/21,28506228
2/26/21,28583906
2/27/21,28649641
2/28/21,28701633
03-01-2021,28757063
03-02-2021,28814028
03-03-2021,28881181
03-04-2021,28949428
03-05-2021,29016353
03-06-2021,29075195
03-07-2021,29117219
03-08-2021,29161873
03-09-2021,29217840
03-10-2021,29276011
03-11-2021,29338782
03-12-2021,29400390
3/13/21,29453948
3/14/21,29492646
3/15/21,29547896
3/16/21,29602213
3/17/21,29661602
3/18/21,29721955
3/19/21,29783929
3/20/21,29840548
3/21/21,29875149
3/22/21,29925269
3/23/21,29978663
3/24/21,30065460
3/25/21,30133328
3/26/21,30210796
3/27/21,30274619
3/28/21,30318249
3/29/21,30386580
3/30/21,30447795
